,Site,Date,Time,Value
0,0031,2020-01-01,0.0,0.217
1,0031,2020-01-01,1.0,0.206
2,0031,2020-01-01,2.0,0.209
3,0031,2020-01-01,3.0,0.204
4,0031,2020-01-01,4.0,0.2
5,0031,2020-01-01,5.0,0.0
6,0031,2020-01-01,6.0,0.158
7,0031,2020-01-01,7.0,0.155
8,0031,2020-01-01,8.0,0.154
9,0031,2020-01-01,9.0,0.169
10,0031,2020-01-01,10.0,0.169
11,0031,2020-01-01,11.0,0.167
12,0031,2020-01-01,12.0,0.156
13,0031,2020-01-01,13.0,0.16
14,0031,2020-01-01,14.0,0.168
15,0031,2020-01-01,15.0,0.175
16,0031,2020-01-01,16.0,0.189
17,0031,2020-01-01,17.0,0.0
18,0031,2020-01-01,18.0,0.181
19,0031,2020-01-01,19.0,0.192
20,0031,2020-01-01,20.0,0.182
21,0031,2020-01-01,21.0,0.176
22,0031,2020-01-01,22.0,0.204
23,0031,2020-01-01,23.0,0.202
24,0031,2020-01-02,0.0,0.182
25,0031,2020-01-02,1.0,0.179
26,0031,2020-01-02,2.0,0.179
27,0031,2020-01-02,3.0,0.163
28,0031,2020-01-02,4.0,0.166
29,0031,2020-01-02,5.0,0.176
30,0031,2020-01-02,6.0,0.196
31,0031,2020-01-02,7.0,0.209
32,0031,2020-01-02,8.0,0.209
33,0031,2020-01-02,9.0,0.21
34,0031,2020-01-02,10.0,0.201
35,0031,2020-01-02,11.0,0.194
36,0031,2020-01-02,12.0,0.196
37,0031,2020-01-02,13.0,0.225
38,0031,2020-01-02,14.0,0.216
39,0031,2020-01-02,15.0,0.21
40,0031,2020-01-02,16.0,0.252
41,0031,2020-01-02,17.0,0.262
42,0031,2020-01-02,18.0,0.245
43,0031,2020-01-02,19.0,0.217
44,0031,2020-01-02,20.0,0.201
45,0031,2020-01-02,21.0,0.252
46,0031,2020-01-02,22.0,0.257
47,0031,2020-01-02,23.0,0.227
48,0031,2020-01-03,0.0,0.249
49,0031,2020-01-03,1.0,0.316
50,0031,2020-01-03,2.0,0.319
51,0031,2020-01-03,3.0,0.322
52,0031,2020-01-03,4.0,0.349
53,0031,2020-01-03,5.0,0.402
54,0031,2020-01-03,6.0,0.548
55,0031,2020-01-03,7.0,0.78
56,0031,2020-01-03,8.0,0.921
57,0031,2020-01-03,9.0,1.0
58,0031,2020-01-03,10.0,0.963
59,0031,2020-01-03,11.0,0.572
60,0031,2020-01-03,12.0,0.488
61,0031,2020-01-03,13.0,0.417
62,0031,2020-01-03,14.0,0.346
63,0031,2020-01-03,15.0,0.289
64,0031,2020-01-03,16.0,0.287
65,0031,2020-01-03,17.0,0.305
66,0031,2020-01-03,18.0,0.305
67,0031,2020-01-03,19.0,0.521
68,0031,2020-01-03,20.0,0.427
69,0031,2020-01-03,21.0,0.31
70,0031,2020-01-03,22.0,0.299
71,0031,2020-01-03,23.0,0.265
72,0031,2020-01-04,0.0,0.459
73,0031,2020-01-04,1.0,0.457
74,0031,2020-01-04,2.0,0.437
75,0031,2020-01-04,3.0,0.372
76,0031,2020-01-04,4.0,0.276
77,0031,2020-01-04,5.0,0.207
78,0031,2020-01-04,6.0,0.203
79,0031,2020-01-04,7.0,0.181
80,0031,2020-01-04,8.0,0.187
81,0031,2020-01-04,9.0,0.201
82,0031,2020-01-04,10.0,0.202
83,0031,2020-01-04,11.0,0.209
84,0031,2020-01-04,12.0,0.219
85,0031,2020-01-04,13.0,0.197
86,0031,2020-01-04,14.0,0.187
87,0031,2020-01-04,15.0,0.196
88,0031,2020-01-04,16.0,0.184
89,0031,2020-01-04,17.0,0.195
90,0031,2020-01-04,18.0,0.176
91,0031,2020-01-04,19.0,0.173
92,0031,2020-01-04,20.0,0.182
93,0031,2020-01-04,21.0,0.188
94,0031,2020-01-04,22.0,0.185
95,0031,2020-01-04,23.0,0.164
96,0031,2020-01-05,0.0,0.16
97,0031,2020-01-05,1.0,0.153
